Biometric_PAX_Scanned,Successful_Biometric_Flight_Indicator,Eligible_Biometric_DEP_PAX_Indicator,Eligible_Biometric_Flight_Indicator,DOM_INTL_Indicator,new_start_date_date_format,Total_DEP_Pax,Gate_Ref,host_carrier_code,flight_number,scheduled_departure_station_code,departure_station_code,scheduled_arrival_station_code,scheduled_departure_date_local,scheduled_departure_time_local,actual_departure_date_local,departure_gate,completed_flight_indicator,new_Gate_Ref,new_Start_Date,BCR,%_Eligible_Flights,Usage_on_Eligible_Flights,BCR_on_Eligible_Flights,Max_achievable_BCR,Flight_Saturation
0,0,0,0,INTL,,148,SFOF2,UA,460,SFO,SFO,YVR,2023-04-05,18:27,2023-04-05,F2,1,,,0.0,0.0,,,0.0,0.0
0,0,246,1,INTL,2021-01-02,246,SFOG10,UA,917,SFO,SFO,AKL,2023-04-04,23:00,2023-04-04,G10,1,SFOG10,2021-01-02,0.0,1.0,0.0,0.0,1.0,0.0
0,0,0,0,INTL,,139,SFOF2,UA,1271,SFO,SFO,MEX,2023-04-05,10:44,2023-04-05,F2,1,,,0.0,0.0,,,0.0,0.0
0,0,0,0,INTL,,72,SFOE1,UA,5546,SFO,SFO,YYC,2023-04-04,10:55,2023-04-04,E1,1,,,0.0,0.0,,,0.0,0.0
290,1,343,1,INTL,2021-01-02,343,SFOG5,UA,954,SFO,SFO,TLV,2023-04-03,19:50,2023-04-03,G5,1,SFOG5,2021-01-02,0.84548105,1.0,1.0,0.84548105,1.0,1.0
0,0,0,0,INTL,,157,SFOE13,UA,1145,SFO,SFO,CUN,2023-04-08,23:16,2023-04-08,E13,1,,,0.0,0.0,,,0.0,0.0
152,1,170,1,INTL,2021-01-02,170,SFOG3,UA,194,SFO,SFO,MUC,2023-04-05,13:25,2023-04-05,G3,1,SFOG3,2021-01-02,0.89411765,1.0,1.0,0.89411765,1.0,1.0
214,1,227,1,INTL,2021-01-02,227,SFOG13,UA,1,SFO,SFO,SIN,2023-04-07,22:45,2023-04-07,G13,1,SFOG13,2021-01-02,0.94273128,1.0,1.0,0.94273128,1.0,1.0
0,0,0,0,INTL,,138,SFOF19,UA,1212,SFO,SFO,PVR,2023-04-03,08:40,2023-04-03,F19,1,,,0.0,0.0,,,0.0,0.0
0,0,0,0,INTL,,114,SFOF1,UA,821,SFO,SFO,MEX,2023-04-06,13:12,2023-04-06,F1,1,,,0.0,0.0,,,0.0,0.0
0,0,0,0,INTL,,175,SFOE9,UA,1145,SFO,SFO,CUN,2023-04-03,23:16,2023-04-03,E9,1,,,0.0,0.0,,,0.0,0.0
1,1,290,1,INTL,2021-01-02,290,SFOG8,UA,863,SFO,SFO,SYD,2023-04-08,22:45,2023-04-08,G8,1,SFOG8,2021-01-02,0.00344828,1.0,1.0,0.00344828,1.0,1.0
223,1,245,1,INTL,2021-01-02,245,SFOG5,UA,968,SFO,SFO,AMS,2023-04-07,14:35,2023-04-07,G5,1,SFOG5,2021-01-02,0.91020408,1.0,1.0,0.91020408,1.0,1.0
0,0,0,0,INTL,,263,SFOF15,UA,990,SFO,SFO,CDG,2023-04-08,14:35,2023-04-08,F15,1,,,0.0,0.0,,,0.0,0.0
0,0,0,0,INTL,,139,SFOF19,UA,58,SFO,SFO,FRA,2023-04-04,13:50,2023-04-04,F19,1,,,0.0,0.0,,,0.0,0.0
230,1,248,1,INTL,2021-01-02,248,SFOG10,UA,893,SFO,SFO,ICN,2023-04-03,10:35,2023-04-03,G10,1,SFOG10,2021-01-02,0.92741935,1.0,1.0,0.92741935,1.0,1.0
225,1,245,1,INTL,2021-01-02,245,SFOG4,UA,893,SFO,SFO,ICN,2023-04-04,10:35,2023-04-04,G4,1,SFOG4,2021-01-02,0.91836735,1.0,1.0,0.91836735,1.0,1.0
297,1,323,1,INTL,2021-01-02,323,SFOG9,UA,869,SFO,SFO,HKG,2023-04-06,12:45,2023-04-06,G9,1,SFOG9,2021-01-02,0.91950464,1.0,1.0,0.91950464,1.0,1.0
135,1,150,1,INTL,2021-01-02,150,SFOG9,UA,1212,SFO,SFO,PVR,2023-04-07,08:40,2023-04-07,G9,1,SFOG9,2021-01-02,0.9,1.0,1.0,0.9,1.0,1.0
0,0,0,0,INTL,,164,SFOE10,UA,1145,SFO,SFO,CUN,2023-04-04,23:16,2023-04-04,E10,1,,,0.0,0.0,,,0.0,0.0
197,1,211,1,INTL,2021-01-02,211,SFOG4,UA,1,SFO,SFO,SIN,2023-04-05,22:45,2023-04-05,G4,1,SFOG4,2021-01-02,0.93364929,1.0,1.0,0.93364929,1.0,1.0
158,1,180,1,INTL,2021-01-02,180,SFOG3,UA,926,SFO,SFO,FRA,2023-04-05,19:10,2023-04-05,G3,1,SFOG3,2021-01-02,0.87777778,1.0,1.0,0.87777778,1.0,1.0
0,0,256,1,INTL,2021-01-02,256,SFOG2,UA,917,SFO,SFO,AKL,2023-04-01,23:00,2023-04-02,G2,1,SFOG2,2021-01-02,0.0,1.0,0.0,0.0,1.0,0.0
0,0,0,0,INTL,,151,SFOE5,UA,784,SFO,SFO,YVR,2023-04-08,08:30,2023-04-08,E5,1,,,0.0,0.0,,,0.0,0.0
0,0,0,0,INTL,,150,SFOF17,UA,1189,SFO,SFO,SJD,2023-04-02,09:05,2023-04-02,F17,1,,,0.0,0.0,,,0.0,0.0
189,1,222,1,INTL,2021-01-02,222,SFOG5,UA,954,SFO,SFO,TLV,2023-04-07,19:50,2023-04-07,G5,1,SFOG5,2021-01-02,0.85135135,1.0,1.0,0.85135135,1.0,1.0
0,0,0,0,INTL,,145,SFOF1,UA,1271,SFO,SFO,MEX,2023-04-06,10:44,2023-04-06,F1,1,,,0.0,0.0,,,0.0,0.0
0,0,181,1,INTL,2021-01-02,181,SFOG6,UA,60,SFO,SFO,MEL,2023-04-04,23:20,2023-04-04,G6,1,SFOG6,2021-01-02,0.0,1.0,0.0,0.0,1.0,0.0
143,1,160,1,INTL,2021-01-02,160,SFOG1,UA,990,SFO,SFO,CDG,2023-04-03,14:35,2023-04-03,G1,1,SFOG1,2021-01-02,0.89375,1.0,1.0,0.89375,1.0,1.0
0,0,0,0,INTL,,126,SFOF4,UA,412,SFO,SFO,MEX,2023-04-08,22:45,2023-04-08,F4,1,,,0.0,0.0,,,0.0,0.0
207,1,215,1,INTL,2021-01-02,215,SFOG2,UA,990,SFO,SFO,CDG,2023-04-05,14:35,2023-04-05,G2,1,SFOG2,2021-01-02,0.9627907,1.0,1.0,0.9627907,1.0,1.0
209,1,235,1,INTL,2021-01-02,235,SFOG6,UA,115,SFO,SFO,PPT,2023-04-07,13:20,2023-04-07,G6,1,SFOG6,2021-01-02,0.8893617,1.0,1.0,0.8893617,1.0,1.0
0,0,0,0,INTL,,165,SFOF17,UA,1164,SFO,SFO,YYZ,2023-04-08,22:56,2023-04-08,F17,1,,,0.0,0.0,,,0.0,0.0
0,0,0,0,INTL,,173,SFOF2,UA,1679,SFO,SFO,CUN,2023-04-04,08:45,2023-04-04,F2,1,,,0.0,0.0,,,0.0,0.0
138,1,156,1,INTL,2021-01-02,156,SFOG2,UA,96,SFO,SFO,BNE,2023-04-07,23:55,2023-04-08,G2,1,SFOG2,2021-01-02,0.88461538,1.0,1.0,0.88461538,1.0,1.0
